12,WWE,96000000,77428473662,Sports,WWE,70127,United States,US,Sports,7,6,1,714614000,178700,2900000,2100000,34300000,600000,2007,May,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
29,Dude Perfect,59500000,16241549158,Sports,Dude Perfect,389,United States,US,Sports,182,9,3,141200000,35300,564800,423600,6800000,100000,2009,Mar,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
369,NBA,20700000,12624879732,Sports,NBA,47926,United States,US,Sports,304,103,4,73025000,18300,292100,219100,3500000,nan,2005,Nov,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
424,FIFA,19400000,5529131886,Sports,FIFA,10728,Switzerland,CH,Sports,1186,1,5,58863000,14700,235500,176600,2800000,100000,2006,Sep,6,59.6,8574832,4.58,6332428,46.818188,8.227512
479,How Ridiculous,18000000,9601137077,Sports,How Ridiculous,650,Australia,AU,Sports,478,5,6,391298000,97800,1600000,1200000,18800000,600000,2009,Sep,9,113.1,25766605,5.27,21844756,-25.274398,133.775136
568,UFC - Ultimate Fighting Championship,16400000,7135820721,Sports,UFC - Ultimate Fighting Championship,14662,United States,US,Sports,806,138,7,133208000,33300,532800,399600,6400000,100000,2006,Mar,4,88.2,328239523,14.7,270663028,37.09024,-95.712891
647,FC Barcelona,15300000,2656528205,Sports,FC Barcelona,10988,Spain,ES,Sports,3356,11,9,84867000,21200,339500,254600,4100000,200000,2006,Feb,6,88.9,47076781,13.96,37927409,40.463667,-3.74922
791,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3280481927,Sports,F2Freestylers - Ultimate Soccer Skills Chann�,777,United Kingdom,GB,Sports,2530,28,10,10222000,2600,40900,30700,490600,nan,2011,Apr,9,60,66834405,3.85,55908316,55.378051,-3.435973
834,DALLMYD,13600000,1948925559,Sports,DALLMYD,412,United States,US,Sports,5133,164,11,30677000,7700,122700,92000,1500000,100000,2011,Feb,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
914,gymvirtual,12900000,2509752944,Sports,gymvirtual,1572,Spain,ES,Sports,3645,17,12,11993000,3000,48000,36000,575700,100000,2010,Nov,1,88.9,47076781,13.96,37927409,40.463667,-3.74922
